producto_id,nombre_de_producto,tipo_de_producto,correo_de_vendedor,marca,pais,fecha_de_recibido,fecha_de_salida
1,Celular,Electronico,sony@gmail.com,Sony,Japon,01/08/2022,27/08/2022
2,TV,Electronico,sony@gmail.com,Sony,Japon,02/08/2022,28/08/2022
3,Radio,Electronico,sony@gmail.com,Sony,Japon,03/08/2022,29/08/2022
4,Audifonos,Electronico,sony@gmail.com,Sony,Japon,04/08/2022,30/08/2022
5,Monitor,Electronico,sony@gmail.com,Sony,Japon,05/08/2022,31/08/2022
6,Control de videojuegos,Entretenimiento,xbox@gmail.com,Microsoft,Estados Unidos,06/08/2022,01/09/2022
7,Pilas,Entretenimiento,xbox@gmail.com,Microsoft,Estados Unidos,07/08/2022,02/09/2022
8,Xbox,Entretenimiento,xbox@gmail.com,Microsoft,Estados Unidos,08/08/2022,03/09/2022
9,Juego Viva Piñata,Entretenimiento,xbox@gmail.com,Microsoft,Estados Unidos,09/08/2022,04/09/2022
10,Cargador de pilas,Entretenimiento,xbox@gmail.com,Microsoft,Estados Unidos,10/08/2022,05/09/2022
11,Plato,Hogar,yeti@gmail.com,Yeti,Reino Unido,11/08/2022,06/09/2022
12,Cuchara,Hogar,yeti@gmail.com,Yeti,Reino Unido,12/08/2022,07/09/2022
13,Tenedor,Hogar,yeti@gmail.com,Yeti,Reino Unido,13/08/2022,08/09/2022
14,Vaso,Hogar,yeti@gmail.com,Yeti,Reino Unido,14/08/2022,09/09/2022
15,Termo,Hogar,yeti@gmail.com,Yeti,Reino Unido,15/08/2022,10/09/2022
16,Desodorante,Aseo personal,greatvalue@gmail.vcom,Great Value,México,16/08/2022,11/09/2022
17,Shampoo,Aseo personal,greatvalue@gmail.vcom,Great Value,México,17/08/2022,12/09/2022
18,Pasta de dientes,Aseo personal,greatvalue@gmail.vcom,Great Value,México,18/08/2022,13/09/2022
19,Acondicionador,Aseo personal,greatvalue@gmail.vcom,Great Value,México,19/08/2022,14/09/2022
20,Cepillo,Aseo personal,greatvalue@gmail.vcom,Great Value,México,20/08/2022,15/09/2022
